"id","name","url","address","phone","website","rating","reviews","operation_days","open_time","close_time","spend_price_min","spend_price_max","categories","lat","lng","created_at","updated_at"
14,WARTEG INDAH JAYA 2,https://www.google.com/maps/place/WARTEG+INDAH+JAYA+2/data=!4m7!3m6!1s0x2e69f6abef3ead3d:0xd685bb87fdf593d!8m2!3d-6.2132686!4d106.8129387!16s%2Fg%2F11c30vnjjn!19sChIJPa0-76v2aS4RPVnff7hbaA0?authuser=0&hl=id&rclk=1,"Jl. Bendungan Hilir No.58g 7, RT.7/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","","",4.5,572,Everyday,00:00:00,23:59:00,1000,25000,Restoran Indonesia,-6.2132686,106.8129387,2025-04-27 21:14:42.497 +0700,2025-04-27 21:14:42.497 +0700
15,BarBurger by Barapi Benhil,https://www.google.com/maps/place/BarBurger+by+Barapi+Benhil/data=!4m7!3m6!1s0x2e69f7ad4645b0b7:0xc68bc4bf1f10788a!8m2!3d-6.2131472!4d106.812538!16s%2Fg%2F11qsvjknc_!19sChIJt7BFRq33aS4RingQH7_Ei8Y?authuser=0&hl=id&rclk=1,"Jl. Bendungan Hilir No.27 1, RT.1/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270","081316869668",https://barburger.id/,4.2,343,Everyday,00:00:00,23:59:00,25000,50000,Restoran,-6.2131472,106.812538,2025-04-27 21:27:23.685 +0700,2025-04-27 21:27:23.685 +0700
16,Luberger Bendungan Hilir,https://www.google.com/maps/place/Luberger+Bendungan+Hilir/data=!4m7!3m6!1s0x2e69f76d1f2b3d6d:0xdc98d988d5319dcf!8m2!3d-6.2071803!4d106.8106854!16s%2Fg%2F11kpf5qb2m!19sChIJbT0rH233aS4Rz50x1YjZmNw?authuser=0&hl=id&rclk=1,"Jl. Bendungan Hilir No.136A, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","088289275133","",4.5,15,Everyday,10:00:00,22:00:00,25000,50000,Restoran Hamburger,-6.2071803,106.8106854,2025-04-27 21:27:23.690 +0700,2025-04-27 21:27:23.690 +0700
6,"RM Payakumbuah, Benhil","https://www.google.com/maps/place/RM+Payakumbuah,+Benhil/data=!4m7!3m6!1s0x2e69f7005d09609d:0xee4b56a0374abbae!8m2!3d-6.2121613!4d106.8121624!16s%2Fg%2F11y5vh2_cz!19sChIJnWAJXQD3aS4RrrtKN6BWS-4?authuser=0&hl=id&rclk=1","Jl. Bendungan Hilir No.37, RT.5/RW.3, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","0818880140",https://www.payakumbuah.co.id/,4.7,668,Everyday,10:00:00,22:00:00,50000,100000,Restoran Padang,-6.2121613,106.8121624,2025-04-27 20:15:16.053 +0700,2025-04-28 01:37:17.112 +0700
17,Red Label Burger and Steak,https://www.google.com/maps/place/Red+Label+Burger+and+Steak/data=!4m7!3m6!1s0x2e69f7891ac8cc9d:0xf210cc22007e348b!8m2!3d-6.2064133!4d106.8043227!16s%2Fg%2F11pkbvyl_l!19sChIJnczIGon3aS4RizR-ACLMEPI?authuser=0&hl=id&rclk=1,"Sky Level of Casa Living Senayan, Jl. Penjernihan IV No.9, Bendungan Hilir, Tanah Abang, Central Jakarta City, Jakarta 10210","087867589440","",4.8,375,Everyday,12:00:00,22:00:00,,,Restoran,-6.2064133,106.8043227,2025-04-27 21:27:23.692 +0700,2025-04-27 21:27:23.692 +0700
9,Warteg Ainun Jaya 3 - Benhil,https://www.google.com/maps/place/Warteg+Ainun+Jaya+3+-+Benhil/data=!4m7!3m6!1s0x2e69f7bb3671f70f:0xe9b133f63740e14a!8m2!3d-6.2041432!4d106.804054!16s%2Fg%2F11h_bvm7rk!19sChIJD_dxNrv3aS4RSuFAN_Yzsek?authuser=0&hl=id&rclk=1,"Jl. Pejompongan III No.4 3, RT.3/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","08111808321","",4.5,167,Everyday,00:00:00,23:59:00,1000,25000,Restoran Indonesia,-6.2041432,106.804054,2025-04-27 20:52:10.306 +0700,2025-04-27 21:39:31.556 +0700
20,Warung Korea Pop,https://www.google.com/maps/place/Warung+Korea+Pop/data=!4m7!3m6!1s0x2e69f6ab0f5d86a9:0x790e83399a5d93b8!8m2!3d-6.2151742!4d106.8139341!16s%2Fg%2F11hd6z7g0d!19sChIJqYZdD6v2aS4RuJNdmjmDDnk?authuser=0&hl=id&rclk=1,"Jl. Bend. Jatiluhur No.10, Bend. Hilir, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","0212521346","",4.4,1255,Everyday,10:00:00,23:30:00,50000,75000,Restoran Korea,-6.2151742,106.8139341,2025-04-28 00:15:58.436 +0700,2025-04-28 00:15:58.436 +0700
21,Ojju K-Food,https://www.google.com/maps/place/Ojju+K-Food/data=!4m7!3m6!1s0x2e69f421bf39ee73:0x9819961a4f950888!8m2!3d-6.1951631!4d106.8211268!16s%2Fg%2F11p068rrh9!19sChIJc-45vyH0aS4RiAiVTxqWGZg?authuser=0&hl=id&rclk=1,"Jl. M.H. Thamrin No.1, RT.1/RW.5, Menteng, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","08134455667","",4.7,268,Everyday,10:00:00,21:30:00,,,Restoran Korea,-6.1951631,106.8211268,2025-04-28 00:15:58.441 +0700,2025-04-28 00:15:58.441 +0700
22,Gurgoryeo Korean bbq and sashimi,https://www.google.com/maps/place/Gurgoryeo+Korean+bbq+and+sashimi/data=!4m7!3m6!1s0x2e69f76049dfeec1:0x3de8f09e8f24e587!8m2!3d-6.2151528!4d106.8139308!16s%2Fg%2F11t_pnzrs6!19sChIJwe7fSWD3aS4Rh-Ukj57w6D0?authuser=0&hl=id&rclk=1,"QRM7+WHM, Jl. Bend. Jatiluhur, RT.10/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","","",3.5,2,,,,,,Restoran Korea,-6.2151528,106.8139308,2025-04-28 00:15:58.442 +0700,2025-04-28 00:15:58.442 +0700
25,Empo Coffee Roastery Jakarta Pusat,https://www.google.com/maps/place/Empo+Coffee+Roastery+Jakarta+Pusat/data=!4m7!3m6!1s0x2e69f7040ab52725:0x102d827902b87465!8m2!3d-6.2079806!4d106.8110555!16s%2Fg%2F11sk8shrql!19sChIJJSe1CgT3aS4RZXS4AnmCLRA?authuser=0&hl=id&rclk=1,"Sebelah Bank BNI 46, Jl. Bendungan Hilir Blok G1 No 2, Lantai Dasar, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","081806820000",http://empocoffee.id/,5.0,56,Monday-Friday: 07:00-22:00; Saturday: 07:00-17:00,07:00:00,22:00:00,25000,50000,Mesin Sangrai Kopi,-6.2079806,106.8110555,2025-04-28 00:49:07.744 +0700,2025-04-28 00:49:07.744 +0700
30,Point Coffee,https://www.google.com/maps/place/Point+Coffee/data=!4m7!3m6!1s0x2e69f713add65447:0x5a9a7db2bdac981f!8m2!3d-6.19848!4d106.8031045!16s%2Fg%2F11t_m9t7yb!19sChIJR1TWrRP3aS4RH5isvbJ9mlo?authuser=0&hl=id&rclk=1,"Jl. K.S. Tubun No.28, RT.2/RW.7, Pejompongan, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","1500280",https://pointcoffee.id/,4.3,4,,,,,,Kedai Kopi,-6.19848,106.8031045,2025-04-28 00:49:07.752 +0700,2025-04-28 00:49:07.752 +0700
24,Bengawan Solo Coffee SPBU Pejompongan,https://www.google.com/maps/place/Bengawan+Solo+Coffee+SPBU+Pejompongan/data=!4m7!3m6!1s0x2e69f6a35474745d:0x51d68b03c791695c!8m2!3d-6.2025031!4d106.8061856!16s%2Fg%2F1ptybsqn9!19sChIJXXR0VKP2aS4RXGmRxwOL1lE?authuser=0&hl=id&rclk=1,"area SPBU, Jl. Penjernihan 1 Jl. Pejompongan Raya No.7, RT.6/RW6/RW.8, Bendungan Hilir, Tanah Abang, Central Jakarta City, Jakarta 10210","02157930275","",4.5,240,Everyday,07:00:00,22:00:00,25000,50000,Kedai Kopi,-6.2025031,106.8061856,2025-04-28 00:49:07.742 +0700,2025-04-28 02:59:56.805 +0700
23,Eskopi Indonesia Benhil,https://www.google.com/maps/place/Eskopi+Indonesia+Benhil/data=!4m7!3m6!1s0x2e69f70019e88d7b:0x62ba481878b5aa26!8m2!3d-6.2152995!4d106.8140136!16s%2Fg%2F11w9r6rm0m!19sChIJe43oGQD3aS4RJqq1eBhIumI?authuser=0&hl=id&rclk=1,"Putaran Apb 03 jurusan, Jl. Bendungan Hilir Gg. V No.19 12, RT.12/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","","",5.0,114,,,,25000,50000,Kedai Kopi,-6.2152995,106.8140136,2025-04-28 00:49:07.737 +0700,2025-04-28 02:59:56.814 +0700
32,Kofieholics - Coffee & Eatery,https://www.google.com/maps/place/Kofieholics+-+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e69f78b1f362cf5:0x8f1497084ee4862c!8m2!3d-6.213237!4d106.8119151!16s%2Fg%2F11v3kspr71!19sChIJ9Sw2H4v3aS4RLIbkTgiXFI8?authuser=0&hl=id&rclk=1,"Jl. Bendungan Hilir Gg. IV No.11, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","",https://www.instagram.com/fieholics/,4.9,309,Everyday,07:30:00,22:00:00,50000,75000,Kedai Kopi,-6.213237,106.8119151,2025-04-28 00:49:07.756 +0700,2025-04-28 02:59:56.831 +0700
27,OFF KOFFEE KAYA,https://www.google.com/maps/place/OFF+KOFFEE+KAYA/data=!4m7!3m6!1s0x2e69f7e3b89568db:0xfc6ae5d848907aac!8m2!3d-6.2143206!4d106.8115141!16s%2Fg%2F11h10b7hq2!19sChIJ22iVuOP3aS4RrHqQSNjlavw?authuser=0&hl=id&rclk=1,"Jl. Bend. Jatiluhur No.59, RT.2/RW.2, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","085117258896","",4.6,444,Monday-Friday: 12:00-22:00; Saturday & Sunday: 14:00-22:00,12:00:00,22:00:00,25000,50000,Kafe,-6.2143206,106.8115141,2025-04-28 00:49:07.747 +0700,2025-04-28 02:59:56.876 +0700
26,Think coffee Club,https://www.google.com/maps/place/Think+coffee+Club/data=!4m7!3m6!1s0x2e69f7d8c57b8577:0x6b8c9154ec7c6492!8m2!3d-6.2073773!4d106.805866!16s%2Fg%2F11glxc7r_7!19sChIJd4V7xdj3aS4RkmR87FSRjGs?authuser=0&hl=id&rclk=1,"Jl. Pejompongan Baru No.35, RT.11/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","081283247432","",4.7,115,Everyday,08:00:00,21:00:00,25000,50000,Kafe,-6.2073773,106.805866,2025-04-28 00:49:07.746 +0700,2025-04-28 02:59:56.892 +0700
29,Tentang Kopi Benhil,https://www.google.com/maps/place/Tentang+Kopi+Benhil/data=!4m7!3m6!1s0x2e69f7691086a221:0x2abf9152e23ba4db!8m2!3d-6.2081809!4d106.8106131!16s%2Fg%2F11smvh1dn7!19sChIJIaKGEGn3aS4R26Q74lKRvyo?authuser=0&hl=id&rclk=1,"Jl. D. Singkarak No.49 blok G1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","0811993899",http://instagram.com/tentangkopi.benhil,4.6,20,Everyday,11:00:00,21:00:00,25000,50000,Kedai Kopi,-6.2081809,106.8106131,2025-04-28 00:49:07.751 +0700,2025-04-28 02:59:57.125 +0700
31,N Nine Coffee,https://www.google.com/maps/place/N+Nine+Coffee/data=!4m7!3m6!1s0x2e69f7d19f28a3cd:0x441ec9f9a6bd3686!8m2!3d-6.2083197!4d106.8060062!16s%2Fg%2F11s3xwg6hm!19sChIJzaMon9H3aS4Rhja9pvnJHkQ?authuser=0&hl=id&rclk=1,"Jl. Danau Limboto No.14, Bend. Hilir, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10210","085786633505","",5.0,3,"Monday, Tuesday, Thursday, Friday, Saturday, Sunday",15:00:00,00:00:00,,,Kedai Kopi,-6.2083197,106.8060062,2025-04-28 00:49:07.754 +0700,2025-04-28 02:59:57.430 +0700
33,Ben&Hill’s Coffee and Popcorn Shop,https://www.google.com/maps/place/Ben%26Hill%E2%80%99s+Coffee+and+Popcorn+Shop/data=!4m7!3m6!1s0x2e69f73ebad5dd6f:0x908eff7b4b74bc7b!8m2!3d-6.2041817!4d106.8044186!16s%2Fg%2F11t1ldmmxb!19sChIJb93Vuj73aS4Re7x0S3v_jpA?authuser=0&hl=id&rclk=1,"QRW3+8QF, Jl. Pejompongan IIIA, RT.3/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","081388858591","",5.0,1,,,,,,Kedai Kopi,-6.2041817,106.8044186,2025-04-28 00:49:07.758 +0700,2025-04-28 00:49:07.758 +0700
34,Jln Pejompongan raya,https://www.google.com/maps/place/Jln+Pejompongan+raya/data=!4m7!3m6!1s0x2e69f70060d83165:0x59ab8c50e431ab29!8m2!3d-6.1997965!4d106.809493!16s%2Fg%2F11wtwq9mdc!19sChIJZTHYYAD3aS4RKasx5FCMq1k?authuser=0&hl=id&rclk=1,"RW.7, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","","",5.0,1,,,,,,"Kedai Kopi, , Tambahkan foto",-6.1997965,106.809493,2025-04-28 00:49:07.759 +0700,2025-04-28 00:49:07.759 +0700
39,Menara BNI Pejompongan,https://www.google.com/maps/place/Menara+BNI+Pejompongan/data=!4m7!3m6!1s0x2e69f7d13ba54f49:0x4fba73eccb3684d6!8m2!3d-6.2037538!4d106.8025421!16s%2Fg%2F11swtbzks2!19sChIJSU-lO9H3aS4R1oQ2y-xzuk8?authuser=0&hl=id&rclk=1,"Jl. Pejompongan Raya No.16, RT.1/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","1500046",https://www.bni.co.id/id-id/,4.8,66,Monday-Friday,08:00:00,15:00:00,,,Kantor Perusahaan,-6.2037538,106.8025421,2025-04-28 00:49:07.768 +0700,2025-04-28 00:49:07.768 +0700
40,Gi coffee,https://www.google.com/maps/place/Gi+coffee/data=!4m7!3m6!1s0x2e69f7fb57d4b4c9:0xb6fc68a2a9958db9!8m2!3d-6.2043971!4d106.8019861!16s%2Fg%2F11v6tnbkrf!19sChIJybTUV_v3aS4RuY2VqaJo_LY?authuser=0&hl=id&rclk=1,"Jl. Pejompongan V No.1, RT.1/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","","",4.0,1,Monday-Friday,07:30:00,15:30:00,,,Kedai Kopi,-6.2043971,106.8019861,2025-04-28 00:49:07.770 +0700,2025-04-28 00:49:07.770 +0700
43,Mie Keriting Benhil Mas Pujo,https://www.google.com/maps/place/Mie+Keriting+Benhil+Mas+Pujo/data=!4m7!3m6!1s0x2e69f6abee516d83:0xfe91ff2031c88ea5!8m2!3d-6.2132952!4d106.8129605!16s%2Fg%2F11c1rddv95!19sChIJg21R7qv2aS4RpY7IMSD_kf4?authuser=0&hl=id&rclk=1,"Jl. Bendungan Hilir No.58 G 7, RT.7/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","0818853274","",4.5,1220,Everyday,07:00:00,18:00:00,25000,50000,Restoran Mie,-6.2132952,106.8129605,2025-04-28 01:07:45.404 +0700,2025-04-28 01:07:45.404 +0700
44,Bakmi Raden,https://www.google.com/maps/place/Bakmi+Raden/data=!4m7!3m6!1s0x2e69f6a55d78dca5:0x3c0b368ee7d6ccbd!8m2!3d-6.2069536!4d106.8077034!16s%2Fg%2F11c1x4105s!19sChIJpdx4XaX2aS4RvczW5442Czw?authuser=0&hl=id&rclk=1,"Jl. D. Tondano No.4 20, RT.20/RW.4, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","085719387697","",4.5,97,Monday: 10:00-00:00; Sunday: 00:00-09:00,10:00:00,00:00:00,1000,25000,Restoran Mie,-6.2069536,106.8077034,2025-04-28 01:07:45.409 +0700,2025-04-28 01:07:45.409 +0700
45,Bopet Mini @Benhil,https://www.google.com/maps/place/Bopet+Mini+@Benhil/data=!4m7!3m6!1s0x2e69f6a94b7e9819:0x2c4195c68590a8ed!8m2!3d-6.2152451!4d106.8148025!16s%2Fg%2F11dx99lc0l!19sChIJGZh-S6n2aS4R7aiQhcaVQSw?authuser=0&hl=id&rclk=1,"Jl. Bendungan Hilir No.1A, RT.11/RW.4, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","081586776685","",4.6,8392,Everyday,07:00:00,19:00:00,25000,50000,Restoran Padang,-6.2152451,106.8148025,2025-04-28 01:37:17.105 +0700,2025-04-28 01:37:17.105 +0700
46,Rumah Makan SURYA Masakan Padang,https://www.google.com/maps/place/Rumah+Makan+SURYA+Masakan+Padang/data=!4m7!3m6!1s0x2e69f768bbdafa57:0xa9fe29049e174c48!8m2!3d-6.2144492!4d106.8145692!16s%2Fg%2F1th9k306!19sChIJV_rau2j3aS4RSEwXngQp_qk?authuser=0&hl=id&rclk=1,"Jl. Bendungan Hilir No.5, RT.10/RW.6, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270","081310032485","",4.5,3277,"Monday, Tuesday, Wednesday, Thursday, Saturday, Sunday",07:00:00,21:00:00,50000,75000,Restoran Padang,-6.2144492,106.8145692,2025-04-28 01:37:17.110 +0700,2025-04-28 01:37:17.110 +0700
48,Kebab Turki Baba Rafi Kantin Be-We Benhil,https://www.google.com/maps/place/Kebab+Turki+Baba+Rafi+Kantin+Be-We+Benhil/data=!4m7!3m6!1s0x2e69f70036a874f1:0x761ff6450522aa0!8m2!3d-6.2162193!4d106.8134822!16s%2Fg%2F11v_9qbv4h!19sChIJ8XSoNgD3aS4RoCpSUGT_YQc?authuser=0&hl=id&rclk=1,"Kantin Be-We, Jl. Bendungan Walahar No.5 5, RT.5/RW.2, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","085282704670","",5.0,10,Monday-Friday,07:30:00,15:00:00,1000,25000,Restoran,-6.2162193,106.8134822,2025-04-28 01:53:07.928 +0700,2025-04-28 01:53:07.928 +0700
36,Casa Kopi Senayan,https://www.google.com/maps/place/Casa+Kopi+Senayan/data=!4m7!3m6!1s0x2e69f7dd1ede386f:0x247db6d2f1449ae!8m2!3d-6.2063711!4d106.8043221!16s%2Fg%2F11fhrymzt0!19sChIJbzjeHt33aS4RrkkUL23bRwI?authuser=0&hl=id&rclk=1,"Jl. Penjernihan IV No.9 12, RT.6/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 12270","02125981666","",4.5,250,Everyday,09:00:00,22:00:00,50000,75000,Kafe,-6.2063711,106.8043221,2025-04-28 00:49:07.763 +0700,2025-04-28 02:59:56.994 +0700
